73664,-1.11,0.03,0.02,-99.60,-18.94,-149.87,-29.81,60.76,187.51
73674,-1.12,0.03,0.02,-98.08,-7.16,-149.28,-33.31,60.43,184.55
73684,-1.12,0.03,0.02,-95.83,4.98,-147.78,-36.73,60.16,181.59
73694,-1.12,0.03,0.02,-93.18,16.36,-146.16,-40.11,59.88,178.64
73704,-1.12,0.04,0.02,-90.05,27.76,-144.73,-43.49,59.60,175.63
73714,-1.12,0.04,0.02,-86.96,38.45,-142.48,-46.79,59.33,172.65
73724,-1.13,0.04,0.02,-83.05,49.29,-140.34,-50.08,59.07,169.60
73734,-1.14,0.04,0.03,-79.36,59.45,-136.71,-53.27,58.84,166.62
73744,-1.14,0.05,0.03,-74.85,69.70,-131.62,-56.38,58.68,163.65
73754,-1.14,0.05,0.03,-71.07,79.13,-125.05,-59.40,58.58,160.76
73764,-1.14,0.05,0.03,-66.88,88.41,-116.87,-62.35,58.57,157.88
73774,-1.14,0.05,0.03,-63.09,96.30,-108.40,-65.23,58.58,155.06
73784,-1.14,0.05,0.03,-59.76,102.76,-99.05,-68.02,58.64,152.34
73794,-1.13,0.05,0.03,-56.79,108.58,-90.42,-70.80,58.69,149.59
73804,-1.13,0.05,0.03,-54.42,113.46,-81.22,-73.55,58.79,146.90
73814,-1.14,0.05,0.03,-52.30,117.86,-72.63,-76.30,58.89,144.19
73824,-1.14,0.06,0.03,-50.64,121.92,-62.35,-79.05,59.09,141.49
73834,-1.14,0.06,0.03,-49.13,125.47,-52.33,-81.82,59.31,138.77
73844,-1.14,0.06,0.03,-47.96,128.94,-40.61,-84.63,59.65,136.00
73854,-1.13,0.06,0.03,-46.96,131.91,-29.22,-87.50,60.03,133.17
73864,-1.13,0.06,0.04,-46.32,133.62,-16.76,-90.38,60.49,130.36
73874,-1.12,0.06,0.04,-45.90,134.66,-4.48,-93.31,61.00,127.50
73884,-1.12,0.05,0.04,-45.25,134.53,7.50,-96.24,61.55,124.64
73894,-1.12,0.05,0.04,-44.79,133.55,19.40,-99.23,62.14,121.73
73904,-1.12,0.05,0.05,-44.18,131.96,31.44,-102.29,62.79,118.75
73914,-1.12,0.05,0.05,-43.43,130.24,42.67,-105.46,63.44,115.65
73924,-1.12,0.04,0.05,-41.99,128.40,53.38,-108.73,64.11,112.40
73934,-1.12,0.04,0.05,-40.44,125.97,63.33,-112.09,64.76,109.05
73944,-1.11,0.04,0.06,-38.45,122.51,72.65,-115.48,65.42,105.65
73954,-1.11,0.04,0.06,-36.43,118.76,81.58,-118.99,66.08,102.10
73964,-1.11,0.04,0.06,-33.93,114.37,90.51,-122.60,66.76,98.42
73974,-1.11,0.04,0.06,-31.32,109.23,98.67,-126.29,67.43,94.64
73984,-1.12,0.03,0.07,-28.51,103.13,107.57,-130.14,68.15,90.67
73994,-1.12,0.03,0.07,-25.24,96.74,114.96,-134.05,68.83,86.59
74004,-1.13,0.03,0.07,-21.48,89.70,122.26,-138.10,69.52,82.33
74014,-1.12,0.03,0.07,-17.83,82.84,129.00,-142.37,70.18,77.82
74024,-1.12,0.03,0.07,-13.74,75.62,135.21,-146.78,70.80,73.10
74034,-1.12,0.03,0.07,-9.76,68.27,140.61,-151.37,71.38,68.18
74044,-1.11,0.03,0.07,-5.25,59.79,145.47,-156.06,71.96,63.11
